"순위","영화명","개봉일","매출액","매출액 점유율","관객수","스크린수","상영횟수","대표국적","국적","배급사"
"1","좀비딸","2025-07-30","53134924990","0.135","5639963","1598","188861","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"2","야당","2025-04-16","32004168430","0.081","3378276","1850","184070","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"3","어쩔수가없다","2025-09-24","28769135430","0.073","2942778","2114","126888","한국","한국","(주)씨제이이엔엠"
"4","히트맨2","2025-01-22","23984663200","0.061","2547598","1588","118863","한국","한국","(주)바이포엠스튜디오"
"5","보스","2025-10-03","23392546050","0.059000000000000004","2437497","1296","97534","한국","한국","(주)하이브미디어코프,(주)마인드마크"
"6","하얼빈","2024-12-24","20729919060","0.052000000000000005","2159727","1425","125764","한국","한국","(주)씨제이이엔엠"
"7","승부","2025-03-26","20044959660","0.051","2146672","1773","148929","한국","한국","(주)바이포엠스튜디오"
"8","하이파이브","2025-05-30","17545923020","0.044000000000000004","1893663","1343","101532","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"9","노이즈","2025-06-25","16758897410","0.042","1707629","1001","72287","한국","한국","(주)바이포엠스튜디오"
"10","검은 수녀들","2025-01-24","16134349980","0.040999999999999995","1670559","1662","84463","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"11","킹 오브 킹스","2025-07-16","12427413626","0.031","1317978","1191","52334","한국","한국","(주)디스테이션"
"12","얼굴","2025-09-11","11012986870","0.027999999999999997","1076611","1114","62686","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"13","전지적 독자 시점","2025-07-23","10055229360","0.025","1061261","1581","52084","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"14","말할 수 없는 비밀","2025-01-27","7859549300","0.02","824156","986","64166","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"15","신명","2025-06-02","7496376280","0.019","788239","785","39923","한국","한국","(주)열공영화제작소,(주)스마일이엔티,주식회사 블루필름웍스"
"16","거룩한 밤: 데몬 헌터스","2025-04-30","7205989400","0.018000000000000002","777649","1097","39931","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"17","퍼스트 라이드","2025-10-29","6844374490","0.017","742535","1227","59343","한국","한국","(주)쇼박스"
"18","파과","2025-04-30","5265831000","0.013000000000000001","550911","886","36772","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"19","윗집 사람들","2025-12-03","5282534800","0.013000000000000001","546429","768","32569","한국","한국","(주)바이포엠스튜디오"
"20","소방관","2024-12-04","5154168880","0.013000000000000001","541882","884","43483","한국","한국","(주)바이포엠스튜디오"
"21","오늘 밤, 세계에서 이 사랑이 사라진다 해도","2025-12-24","4681536750","0.012","489021","868","15093","한국","한국","(주)바이포엠스튜디오"
"22","악마가 이사왔다","2025-08-13","4137162810","0.01","437768","974","32686","한국","한국","(주)씨제이이엔엠"
"23","뽀로로 극장판 바닷속 대모험","2025-01-01","3372930820","0.009000000000000001","397114","791","25721","한국","한국","씨제이 씨지브이(CJ CGV)(주)"
"24","살인자 리포트","2025-09-05","3656329360","0.009000000000000001","366298","841","30094","한국","한국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,주식회사 에이투지엔터테인먼트"
"25","보고타: 마지막 기회의 땅","2024-12-31","2994218870","0.0080","321425","979","28953","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"26","소주전쟁","2025-05-30","2641291950","0.006999999999999999","283787","1040","27191","한국","한국","(주)쇼박스"
"27","브레드이발소: 베이커리타운의 악당들","2025-09-27","2494627600","0.0060","282480","387","11594","한국","한국","씨제이 씨지브이(CJ CGV)(주)"
"28","로비","2025-04-02","2469547340","0.0060","262377","1013","33018","한국","한국","(주)쇼박스"
"29","뽀로로 극장판 스위트캐슬 대모험","2025-12-11","1892881630","0.0050","216003","660","11063","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데시네마"
"30","브로큰","2025-02-05","1831874700","0.0050","197949","818","21420","한국","한국","(주)바른손이앤에이"
"31","동화지만 청불입니다","2025-01-08","1564238340","0.0040","168500","668","20346","한국","한국","(주)미디어캔,(주)영화특별시에스엠씨"
"32","정보원","2025-12-03","1533365100","0.0040","167700","766","13635","한국","한국","(주)영화특별시에스엠씨"
"33","그 시절, 우리가 좋아했던 소녀","2025-02-21","1471023000","0.0040","164922","709","18123","한국","한국","(주)위지윅스튜디오,씨제이 씨지브이(CJ CGV)(주)"
"34","만약에 우리","2025-12-31","1108163360","0.0030","129136","961","2857","한국","한국","(주)쇼박스"
"35","괴기열차","2025-07-09","983800450","0.0020","105990","578","7723","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"36","스트리밍","2025-03-21","1010579120","0.0030","104505","819","14876","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"37","프랑켄슈타인 : 더 뮤지컬 라이브","2025-09-18","2303799100","0.0060","93574","176","5931","한국","한국","(주)위즈온센,메가박스중앙(주)"
"38","아이유 콘서트 : 더 위닝","2025-01-24","2076626500","0.0050","75872","118","4741","한국","한국","씨지브이 아이스콘,씨제이포디플렉스 주식회사"
"39","바이러스","2025-05-07","662836960","0.0020","74307","663","10965","한국","한국","(주)바이포엠스튜디오"
"40","힘내라 대한민국","2025-02-27","669149760","0.0020","73093","173","4250","한국","한국","주식회사 킨스튜디오"
"41","나쁜계집애: 달려라 하니","2025-10-07","643718230","0.0020","71075","487","5531","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"42","귀시","2025-09-17","684153410","0.0020","68623","621","8483","한국","한국","(주)바이포엠스튜디오,(주)제리굿컴퍼니"
"43","시크릿쥬쥬 마법의 하모니","2025-05-01","585282160","0.0010","64611","575","5827","한국","한국","(주)씨제이이엔엠"
"44","고고다이노 극장판: 게코도마뱀의 꿈","2025-07-30","584539200","0.0010","63611","209","3904","한국","한국","(주)모꼬지"
"45","꼬마마법사 주니토니","2025-07-26","511399400","0.0010","58709","170","3073","한국","한국","씨제이 씨지브이(CJ CGV)(주),와이드 릴리즈(주)"
"46","귀신경찰","2025-01-24","506545800","0.0010","58661","378","5020","한국","한국","(주)제이앤씨미디어그룹,와이드 릴리즈(주)"
"47","나혼자 프린스","2025-11-19","509074310","0.0010","56126","536","8599","한국","한국","씨제이 씨지브이(CJ CGV)(주),(주)제리굿컴퍼니"
"48","이찬원 콘서트 찬가: 디어 마이 찬스","2025-02-26","1283263500","0.0030","51570","82","1579","한국","한국","씨지브이 아이스콘"
"49","임영웅 [아임 히어로 2] 청음회","2025-08-28","200272000","0.0010","50068","57","331","한국","한국","씨지브이 아이스콘"
"50","식스데이즈","2025-08-13","1027874000","0.0030","46901","117","2983","한국","한국","씨지브이 아이스콘,씨제이포디플렉스 주식회사"
"51","백수아파트","2025-02-26","375946960","0.0010","43369","456","5762","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"52","대가족","2024-12-11","334696000","0.0010","42803","82","1227","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"53","쫑알쫑알 똘똘이: 이상한 마을 대모험","2025-04-30","373849100","0.0010","40759","213","2822","한국","한국","(주)크레이지버드스튜디오"
"54","극장판 똘똘이: 아기공룡의 비밀","2025-11-07","362306400","0.0010","38707","240","3233","한국","한국","(주)크레이지버드스튜디오"
"55","플레이브 '대쉬' 인 시네마","","38291000","0.0","38291","68","1289","한국","한국","롯데컬처웍스(주)롯시플"
"56","부정선거, 신의 작품인가","2025-05-21","334215920","0.0010","37008","140","1854","한국","한국","루디아코프"
"57","구원자","2025-11-05","307487310","0.0010","34697","498","6031","한국","한국","(주)마인드마크"
"58","콘크리트 마켓","2025-12-03","254799900","0.0010","31962","208","2809","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
