collected_at,collection_status,collection_note,chart_year,rank,movie_name,worldwide_gross_usd,domestic_gross_usd,domestic_share_pct,foreign_gross_usd,foreign_share_pct,domestic_release_date_from_group,domestic_opening_gross_from_group_usd,domestic_total_gross_from_group_usd,open_date,genre,rating,distributor,opening_gross_usd,opening_theaters,widest_release_theaters,running_time,source_chart_url,source_release_group_url,source_domestic_release_url
2026-04-14T16:06:15.862Z,success,,2016,15,X-Men: Apocalypse,543934105,155442489,28.6,388491616,71.4,"May 27, 2016",65769562,155442489,"May 27, 2016",Action|Adventure|Sci-Fi,PG-13,Twentieth Century Fox,65769562,4150,4153,2 hr 24 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2590724613/,https://www.boxofficemojo.com/release/rl1417315841/
2026-04-14T16:06:15.862Z,success,,2016,16,Kung Fu Panda 3,521170825,143528619,27.5,377642206,72.5,"Jan 29, 2016",41282042,143528619,"Jan 29, 2016",Action|Adventure|Animation|Comedy|Family|Fantasy,PG,Twentieth Century Fox,41282042,3955,3987,1 hr 35 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr4045558277/,https://www.boxofficemojo.com/release/rl3546056193/
2026-04-14T16:06:15.862Z,success,,2016,17,La La Land,447407695,151101803,33.8,296305892,66.2,"Dec 9, 2016",881104,151101803,,Comedy|Drama|Music|Musical|Romance,PG-13,Lionsgate,881104,5,3236,2 hr 8 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2781106693/,https://www.boxofficemojo.com/release/rl241141249/
2026-04-14T16:06:15.862Z,success,,2016,18,Warcraft,439048914,47365290,10.8,391683624,89.2,"Jun 10, 2016",24166110,47365290,"Jun 10, 2016",Action|Adventure|Fantasy,PG-13,Universal Pictures,24166110,3400,3406,2 hr 3 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2367640069/,https://www.boxofficemojo.com/release/rl1064863233/
2026-04-14T16:06:15.862Z,success,,2016,19,Jason Bourne,415484914,162434410,39.1,253050504,60.9,"Jul 29, 2016",59215365,162434410,"Jul 29, 2016",Action|Thriller,PG-13,Universal Pictures,59215365,4026,4039,2 hr 3 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2385007109/,https://www.boxofficemojo.com/release/rl2537981441/
2026-04-14T16:06:15.862Z,success,,2016,20,Ice Age: Collision Course,408579038,64063008,15.7,344516030,84.3,"Jul 22, 2016",21373064,64063008,"Jul 22, 2016",Action|Adventure|Animation|Comedy|Family|Sci-Fi,PG,Twentieth Century Fox,21373064,3992,3997,1 hr 34 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr307778053/,https://www.boxofficemojo.com/release/rl3344467457/
2026-04-14T16:06:15.862Z,success,,2016,21,Independence Day: Resurgence,389681935,103144286,26.5,286537649,73.5,"Jun 24, 2016",41039944,103144286,"Jun 24, 2016",Action|Adventure|Sci-Fi,PG-13,Twentieth Century Fox,41039944,4130,4130,2 hr,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr131027461/,https://www.boxofficemojo.com/release/rl928744961/
2026-04-14T16:06:15.862Z,success,,2016,22,Your Name.,357986087,5017246,1.4,352968841,98.6,"Apr 7, 2017",1813781,5017246,"Apr 7, 2017",Animation|Drama|Fantasy|Romance,PG,FUNimation Entertainment,1813781,311,311,1 hr 46 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2548322821/,https://www.boxofficemojo.com/release/rl788563457/
2026-04-14T16:06:15.862Z,success,,2016,23,The Legend of Tarzan,357243061,126643061,35.5,230600000,64.5,"Jul 1, 2016",38527856,126643061,"Jul 1, 2016",Action|Adventure|Drama|Fantasy|Romance,PG-13,Warner Bros.,38527856,3561,3591,1 hr 50 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr3509146117/,https://www.boxofficemojo.com/release/rl2759165441/
2026-04-14T16:06:15.862Z,success,,2016,24,The Angry Birds Movie,352333929,107509366,30.5,244824563,69.5,"May 20, 2016",38155177,107509366,"May 20, 2016",Action|Adventure|Animation|Comedy|Family,PG,Sony Pictures Releasing,38155177,3932,3932,1 hr 37 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2707051013/,https://www.boxofficemojo.com/release/rl3343091201/
2026-04-14T16:06:15.862Z,success,,2016,25,Trolls,347013487,153856089,44.3,193157398,55.7,"Nov 4, 2016",46581142,153856089,"Nov 4, 2016",Adventure|Animation|Comedy|Family|Fantasy|Music,PG,Twentieth Century Fox,46581142,4060,4066,1 hr 32 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr1984975365/,https://www.boxofficemojo.com/release/rl3967256065/
2026-04-14T16:06:15.862Z,success,,2016,26,Star Trek Beyond,343471816,158848340,46.2,184623476,53.8,"Jul 22, 2016",59253211,158848340,"Jul 22, 2016",Action|Adventure|Sci-Fi|Thriller,PG-13,Paramount Pictures,59253211,3928,3928,2 hr 2 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr514413061/,https://www.boxofficemojo.com/release/rl2960360961/
2026-04-14T16:06:15.862Z,success,,2016,27,The Great Wall,334933831,45540830,13.6,289393001,86.4,"Feb 17, 2017",18469620,45540830,"Feb 17, 2017",Action|Adventure|Fantasy|Thriller,PG-13,Universal Pictures,18469620,3326,3328,1 hr 43 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2650231301/,https://www.boxofficemojo.com/release/rl1515685377/
2026-04-14T16:06:15.862Z,success,,2016,28,Now You See Me 2,334897606,65075540,19.4,269822066,80.6,"Jun 10, 2016",22383146,65075540,"Jun 10, 2016",Action|Adventure|Comedy|Crime|Mystery|Thriller,PG-13,Lionsgate,22383146,3232,3232,2 hr 9 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr3775877637/,https://www.boxofficemojo.com/release/rl3580331521/
2026-04-14T16:06:15.862Z,success,,2016,29,The Conjuring 2,321370008,102470008,31.9,218900000,68.1,"Jun 10, 2016",40406314,102470008,"Jun 10, 2016",Horror|Mystery|Thriller,R,Warner Bros.,40406314,3343,3356,2 hr 14 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2549699077/,https://www.boxofficemojo.com/release/rl3813312001/
2026-04-14T16:06:15.862Z,success,,2016,30,Resident Evil: The Final Chapter,312242626,26830068,8.6,285412558,91.4,"Jan 27, 2017",13601682,26830068,"Jan 27, 2017",Action|Horror|Sci-Fi|Thriller,R,Screen Gems,13601682,3104,3104,1 hr 47 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr167465477/,https://www.boxofficemojo.com/release/rl1199408641/
2026-04-14T16:06:15.862Z,success,,2016,31,Dangal,303726694,12391761,4.1,291334933,95.9,"Dec 21, 2016",3248481,12391761,"Dec 21, 2016",Action|Biography|Drama|Sport,,UTV Motion Pictures,3248481,331,338,2 hr 41 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2867679749/,https://www.boxofficemojo.com/release/rl4177626625/
2026-04-14T16:06:15.862Z,success,,2016,32,Passengers,303144152,100014699,33,203129453,67,"Dec 21, 2016",14869736,100014699,"Dec 21, 2016",Drama|Romance|Sci-Fi|Thriller,PG-13,Sony Pictures Releasing,14869736,3478,3478,1 hr 56 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr739594757/,https://www.boxofficemojo.com/release/rl1132299777/
2026-04-14T16:06:15.862Z,success,,2016,33,Alice Through the Looking Glass,299457024,77041381,25.7,222415643,74.3,"May 27, 2016",26858726,77041381,"May 27, 2016",Adventure|Family|Fantasy|Mystery,PG,Walt Disney Studios Motion Pictures,26858726,3763,3763,1 hr 53 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr4233843205/,https://www.boxofficemojo.com/release/rl3577775617/
2026-04-14T16:06:15.862Z,success,,2016,34,Miss Peregrine's Home for Peculiar Children,296482446,87242834,29.4,209239612,70.6,"Sep 30, 2016",28871140,87242834,"Sep 30, 2016",Adventure|Drama|Family|Fantasy|Thriller,PG-13,Twentieth Century Fox,28871140,3522,3835,2 hr 7 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr1911247365/,https://www.boxofficemojo.com/release/rl224953857/
